"","estimate","se","lcl","ucl","fixed","note"
"S s1 gfemale111 c261 c1 a0 o1 t261",0.7750387,0.0089167,0.7570819,0.7920326,"     ","                    "
"S s1 gfemale121 c261 c1 a0 o1 t261",0.7894931,0.007376,0.7746723,0.8035862,"     ","                    "
"S s1 gfemale131 c261 c1 a0 o1 t261",0.8096542,0.0041407,0.8014058,0.817638,"     ","                    "
"S s1 gfemale141 c261 c1 a0 o1 t261",0.762917,0.0046816,0.7536191,0.7719701,"     ","                    "
"S s1 gfemale4121 c261 c1 a0 o1 t261",0.7657858,0.0100368,0.7455437,0.7848822,"     ","                    "
"S s1 gfemale262 c261 c1 a0 o1 t261",0.6822093,0.0212644,0.6391554,0.7223577,"     ","                    "
"S s1 gfemale282 c261 c1 a0 o1 t261",0.5343867,0.028059,0.4791961,0.588748,"     ","                    "
"S s1 gfemale3112 c261 c1 a0 o1 t261",0.7973067,0.0248437,0.744262,0.8416893,"     ","                    "
"S s1 gfemale153 c261 c1 a0 o1 t261",0.6392424,0.0224815,0.5941153,0.6820375,"     ","                    "
"S s1 gfemale273 c261 c1 a0 o1 t261",0.6141336,0.0385211,0.5364637,0.6863969,"     ","                    "
"S s1 gfemale393 c261 c1 a0 o1 t261",0.4318453,0.0390845,0.3574269,0.5094731,"     ","                    "
"S s1 gfemale3103 c261 c1 a0 o1 t261",0.6628553,0.0311901,0.5992867,0.7210337,"     ","                    "
"S s1 gfemale4133 c261 c1 a0 o1 t261",0.8275812,0.0260518,0.7704286,0.8728537,"     ","                    "
"p s1 gfemale111 c261 c1 a1 o1 t262",0.5547258,0.0046352,0.5456235,0.5637916,"     ","                    "
"p s1 gfemale4121 c261 c1 a1 o1 t262",0.4328414,0.0153643,0.4030105,0.4631673,"     ","                    "
"p s1 gfemale262 c261 c1 a1 o1 t262",0.2486527,0.0194938,0.2124327,0.2887837,"     ","                    "
"p s1 gfemale3112 c261 c1 a1 o1 t262",0.2947909,0.0258697,0.2467299,0.3478901,"     ","                    "
"Psi s1 to2 gfemale111 c261 c1 a0 o1 t261",0.0867581,0.0085065,0.0714711,0.1049455,"     ","                    "
"Psi s1 to2 gfemale121 c261 c1 a0 o1 t261",0.1278757,0.0086865,0.1117948,0.1458897,"     ","                    "
"Psi s1 to2 gfemale131 c261 c1 a0 o1 t261",0.0769229,0.003928,0.0695685,0.0849838,"     ","                    "
"Psi s1 to2 gfemale141 c261 c1 a0 o1 t261",0.1416268,0.0076267,0.1273266,0.1572437,"     ","                    "
"Psi s1 to2 gfemale4121 c261 c1 a0 o1 t261",0.4898273,0.0197756,0.4512055,0.528571,"     ","                    "
"Psi s1 to2 gfemale262 c261 c1 a0 o1 t261",0.4751767,0.0420555,0.3941491,0.5575328,"     ","                    "
"Psi s1 to2 gfemale282 c261 c1 a0 o1 t261",0.4084497,0.0583362,0.3007773,0.5256881,"     ","                    "
"Psi s1 to2 gfemale3112 c261 c1 a0 o1 t261",0.2307707,0.0522582,0.1441844,0.3481984,"     ","                    "
"Psi s1 to2 gfemale153 c261 c1 a0 o1 t261",0.135415,0.0349219,0.0802811,0.2193809,"     ","                    "
"Psi s1 to2 gfemale273 c261 c1 a0 o1 t261",0.5185195,0.0679947,0.3870573,0.6474668,"     ","                    "
"Psi s1 to2 gfemale393 c261 c1 a0 o1 t261",0.1750029,0.0600806,0.0857862,0.3241099,"     ","                    "
"Psi s1 to2 gfemale3103 c261 c1 a0 o1 t261",0.3116879,0.0527841,0.218493,0.4231123,"     ","                    "
"Psi s1 to2 gfemale4133 c261 c1 a0 o1 t261",0.6285706,0.0577518,0.510313,0.7332004,"     ","                    "
"p s1 gfemale111 c261 c1 a6 o6 t267",0,0,0,0,"     "," Fixed              "
